rosbagTimestamp,data
0,10.3351993561
0.001,8.8935232163
0.002,8.2259263992
0.003,9.9104728699
0.004,9.8027954102
0.005,9.8536434174
0.006,9.8536434174
0.007,8.2372922897
0.008,9.0789670944
0.009,9.0789670944
0.01,10.2053890228
0.011,10.2053890228
0.012,8.7457666397
0.013,8.2115688324
0.014,8.2115688324
0.015,9.9625167847
0.016,9.9625167847
0.017,9.7070837021
0.018,8.1912307739
0.019,8.1912307739
0.02,9.2548398972
0.021,9.2548398972
0.022,10.1940221786
0.023,8.6781692505
0.024,8.6781692505
0.025,8.5190467835
0.026,8.5190467835
0.027,9.9966154099
0.028,9.3475618362
0.029,9.3475618362
0.03,8.1577301025
0.031,8.1577301025
0.032,9.4235334396
0.033,10.1371936798
0.034,10.1371936798
0.035,8.5214395523
0.036,8.5214395523
0.037,8.6111707687
0.038,10.0103731155
0.039,10.0103731155
0.04,9.1770734787
0.041,9.1770734787
0.042,8.2025957108
0.043,9.6317090988
0.044,9.6317090988
0.045,10.0654087067
0.046,10.0654087067
0.047,8.3300132752
0.048,8.7756767273
0.049,8.7756767273
0.05,10.2335042953
0.051,10.2335042953
0.052,9.0604228973
0.053,8.2678003311
0.054,8.2678003311
0.055,9.7310113907
0.056,9.7310113907
0.057,9.8207426071
0.058,8.141579628
0.059,8.141579628
0.06,9.0676012039
0.061,9.0676012039
0.062,10.2442722321
0.063,8.804391861
0.064,8.804391861
0.065,8.4029951096
0.066,8.4029951096
0.067,9.873383522
0.068,9.5563354492
0.069,9.5563354492
0.07,8.0745792389
0.071,8.0745792389
0.072,9.249455452
0.073,10.1862459183
0.074,10.1862459183
0.075,8.6039924622
0.076,8.6039924622
0.077,8.4448699951
0.078,9.9780702591
0.079,9.9780702591
0.08,9.4175510407
0.081,9.4175510407
0.082,8.18704319
0.083,9.4893369675
0.084,9.4893369675
0.085,10.1826562881
0.086,10.1826562881
0.087,8.4693956375
0.088,8.6345005035
0.089,8.6345005035
0.09,10.1096754074
0.091,10.1096754074
0.092,9.1579303742
0.093,8.0931243897
0.094,8.0931243897
0.095,9.5736837387
0.096,9.5736837387
0.097,10.1180505753
0.098,8.4574317932
0.099,8.4574317932
0.1,8.7792663574
0.101,8.7792663574
0.102,10.130613327
0.103,8.9443712235
0.104,8.9443712235
0.105,8.2241315842
0.106,8.2241315842
0.107,9.7208414078
0.108,9.8464651108
0.109,9.8464651108
0.11,8.5908308029
0.111,8.5908308029
0.112,8.9419784546
0.113,10.0468645096
0.114,10.0468645096
0.115,8.6997051239
0.116,8.6997051239
0.117,8.4681987763
0.118,9.9565343857
0.119,9.9565343857
0.12,9.4486589432
0.121,9.4486589432
0.122,8.1260261536
0.123,9.2919282913
0.124,9.2919282913
0.125,10.344171524
0.126,10.344171524
0.127,8.77866745
0.128,8.5902328491
0.129,8.5902328491
0.13,9.9427757263
0.131,9.9427757263
0.132,9.3056869507
0.133,8.2845506668
0.134,8.2845506668
0.135,9.4564352036
0.136,10.2221384048
0.137,10.1437730789
0.138,8.2977104187
0.139,8.2977104187
0.14,8.5651082993
0.141,10.0510520935
0.142,10.0510520935
0.143,9.2153587341
0.144,9.2153587341
0.145,8.3724861145
0.146,9.7011013031
0.147,9.7011013031
0.148,9.9403839111
0.149,9.9403839111
0.15,8.1930246353
0.151,8.7816591263
0.152,8.7816591263
0.153,10.2640132904
0.154,10.2640132904
0.155,9.1124668121
0.156,8.2097740173
0.157,8.2097740173
0.158,9.771689415
0.159,9.771689415
0.16,10.0265254974
0.161,8.2618179321
0.162,8.2618179321
0.163,9.0137634277
0.164,9.0137634277
0.165,10.0654087067
0.166,8.6404819489
0.167,8.6404819489
0.168,8.3796653748
0.169,8.3796653748
0.17,9.9092769623
0.171,9.443274498
0.172,9.443274498
0.173,8.1840515137
0.174,8.1840515137
0.175,9.5778713226
0.176,10.3633146286
0.177,10.3633146286
0.178,8.4879398346
0.179,8.4879398346
0.18,8.1942214966
0.181,9.9206428528
0.182,9.9206428528
0.183,9.5210418701
0.184,9.5210418701
0.185,8.3569326401
0.186,9.4929265976
0.187,9.4929265976
0.188,10.1120691299
0.189,10.1120691299
0.19,8.4101734161
0.191,8.5842514038
0.192,8.5842514038
0.193,10.095916748
0.194,10.095916748
0.195,9.1651086807
0.196,8.1403827667
0.197,8.1403827667
0.198,9.620344162
0.199,9.620344162
0.2,10.0002040863
0.201,8.4239320755
0.202,8.4239320755
0.203,8.9048891068
0.204,8.9048891068
0.205,10.2017993927
0.206,8.8468637466
0.207,8.8468637466
0.208,8.315656662
0.209,8.315656662
0.21,9.874581337
0.211,9.7495565414
0.212,9.7495565414
0.213,8.1930246353
0.214,8.1930246353
0.215,9.0364942551
0.216,10.130613327
0.217,10.130613327
0.218,8.8265247345
0.219,8.8265247345
0.22,8.3802633286
0.221,9.9284191132
0.222,9.9284191132
0.223,9.5970134735
0.224,9.5970134735
0.225,8.3306121826
0.226,9.3230352402
0.227,9.3230352402
0.228,10.1754779816
0.229,10.1754779816
0.23,8.548956871
0.231,8.4532442093
0.232,8.4532442093
0.233,9.9828567505
0.234,9.9828567505
0.235,9.391828537
0.236,8.1302137375
0.237,8.1302137375
0.238,9.4438734055
0.239,9.4438734055
0.24,10.2382907867
0.241,8.5340023041
0.242,8.5340023041
0.243,8.6733846664
0.244,8.6733846664
0.245,9.9978113174
0.246,9.1094760895
0.247,9.1094760895
0.248,8.2283191681
0.249,8.2283191681
0.25,9.6849498749
0.251,10.0402832031
0.252,10.0402832031
0.253,8.2666034699
0.254,8.2666034699
0.255,8.8073816299
0.256,10.157532692
0.257,10.157532692
0.258,8.9198446274
0.259,8.9198446274
0.26,8.2468624115
0.261,9.7214403153
0.262,9.7214403153
0.263,9.7776708603
0.264,9.7776708603
0.265,8.2337026596
0.266,9.1381893158
0.267,9.1381893158
0.268,10.2047901154
0.269,10.2047901154
0.27,8.7714891434
0.271,8.3036928177
0.272,8.3036928177
0.273,9.8835544586
0.274,9.8835544586
0.275,9.7142620087
0.276,8.2121677399
0.277,8.2121677399
0.278,9.2530450821
0.279,10.1718883514
0.28,10.1270246506
0.281,8.4759759903
0.282,8.4759759903
0.283,8.4604225159
0.284,10.0438737869
0.285,10.0438737869
0.286,9.3810606003
0.287,9.3810606003
0.288,8.1601228714
0.289,9.4923276901
0.29,9.4923276901
0.291,10.1527471542
0.292,10.1527471542
0.293,8.492726326
0.294,8.6189470291
0.295,8.6189470291
0.296,10.0193471909
0.297,10.0193471909
0.298,9.2045898438
0.299,8.2540416718
0.3,8.2540416718
0.301,9.652048111
0.302,9.652048111
0.303,9.9966154099
0.304,8.2923269272
0.305,8.2923269272
0.306,8.7194452286
0.307,8.7194452286
0.308,10.1264257431
0.309,9.0251283646
0.31,9.0251283646
0.311,8.2414798737
0.312,8.2414798737
0.313,9.7728862763
0.314,9.9385900497
0.315,9.9385900497
0.316,8.2630147934
0.317,8.2630147934
0.318,8.9294157028
0.319,10.179066658
0.32,10.179066658
0.321,8.8408813477
0.322,8.8408813477
0.323,8.2803630829
0.324,9.8356971741
0.325,9.8356971741
0.326,9.6795654297
0.327,9.6795654297
0.328,8.232506752
0.329,9.1507520676
0.33,9.1507520676
0.331,10.1898345947
0.332,10.1898345947
0.333,8.6428756714
0.334,8.4550390244
0.335,8.4550390244
0.336,9.9613208771
0.337,9.9613208771
0.338,9.4689979553
0.339,8.0715885162
0.34,8.0715885162
0.341,9.3858470917
0.342,9.3858470917
0.343,10.0839519501
0.344,8.4843511581
0.345,8.4843511581
0.346,8.5357971191
0.347,8.5357971191
0.348,10.0660076141
0.349,9.3272228241
0.35,9.3272228241
0.351,8.2217388153
