rosbagTimestamp,data
0,9.6753778458
0.1,9.7477617264
0.2,8.9880399704
0.3,9.8691959381
0.4,9.7100744247
0.5,9.1692962647
0.6,9.9756774902
0.7,9.652048111
0.8,9.2315101624
0.9,9.8524475098
1,9.2446699143
1.1,9.2129650116
1.2,9.8057870865
1.3,9.4181499481
1.4,9.3367938995
1.5,9.8273220062
1.6,9.3451690674
1.7,9.4540424347
1.8,9.9421787262
1.9,9.2506523132
2,9.4983091354
2.1,10.1706924438
2.2,9.3230352402
2.3,9.273982048
2.4,9.9212408066
2.5,9.8542423248
2.6,8.9808616638
2.7,9.4935245514
2.8,10.0749807358
2.9,8.9383888245
3,9.4414796829
3.1,9.8470640183
3.2,9.6604232788
3.3,9.3038930893
3.4,9.8057870865
3.5,9.4187479019
3.6,9.3230352402
3.7,9.7166538239
3.8,9.4384889603
3.9,9.6693964005
4,9.8548402786
4.1,9.3924264908
4.2,9.6323070526
4.3,9.7387886047
4.4,9.3565349579
4.5,9.5593271256
4.6,9.9242315292
4.7,9.1968135834
4.8,9.732208252
4.9,9.8063850403
5,9.1746807098
5.1,9.7172527313
5.2,9.6687984467
5.3,9.0969133377
5.4,9.9104728699
5.5,9.4755773544
5.6,9.3631153107
5.7,10.0085792542
5.8,8.8408813477
5.9,10.2161569595
6,9.7316102982
6.1,8.5788679123
6.2,9.5838527679
6.3,9.8249292374
6.4,8.8432741165
6.5,10.0785694122
6.6,8.8947200775
6.7,8.9994058609
6.8,9.5551395416
6.9,9.6664056778
7,8.9054870606
7.1,9.6610221863
7.2,9.2416791916
7.3,9.4115695953
7.4,9.8524475098
7.5,9.1220378876
7.6,9.6299142838
7.7,9.5820589066
7.8,9.2189474106
7.9,10.1371936798
8,9.5198450089
8.1,9.3595256805
8.2,9.6789674759
8.3,9.4109716415
8.4,9.2907314301
8.5,9.9667043686
8.6,9.3080806732
8.7,9.4941225052
8.8,10.0235347748
8.9,9.0568342209
9,9.5120677948
9.1,9.7956180573
9.2,9.3595256805
